"","ppt","competent","smart","educated","intelligent","successful","sociable","friendly","nice","honest","pleasant","irritated","interested","enthusiastic","frustrated","annoyed","happy","trustworthy","easy","fluent","strong","affect","status","solidarity","country_native","country_nonnative","learn_future","P1_Q4","P1_Q5","decision_making","P2_Q4","P2_Q5","bet_before","expertise_betting","IN_ANALYSIS_AUDIO","IN_ANALYSIS_EXPERTISE","naturalness","exposure","speaker"
"1",1,7,8,8,8,8,6,6,6,7,7,8,6,6,6,8,5,7,8,7,9,6.5,7.8,6.4,"London","Italy","Non-native speaker","No","1","Based on what the speakers said","To see whether you place more money in a bet on the native speaker vs the foreign speaker","","No","1","Yes","Yes",7,2,"nonnative"
"2",3,9,9,9,9,9,7,7,8,8,9,9,7,6,9,9,7,8,7,8,8,7.83333333333333,9,7.8,"Scotland","Spain","Non-native speaker","No","1","Wording, tone and delivery of the speakers","Explore interpretations of native vs non-native speakers","","No","1","Yes","Yes",7,7,"nonnative"
"3",4,7,8,8,8,6,6,7,8,6,7,7,6,5,6,8,5,7,4,7,7,6.16666666666667,7.4,6.8,"North of England - Nottinghamshire, or Yorkshire (South Yorkshire?)","I thought one sounded Spanish, the other French","Native speaker","No","1","It was difficult to gauge the likely success of the horses because none of them were described as dominant and dead certs, so I adjusted my previous bets accordingly when I learned about the next horse","To gauge trustworthiness and emotional responses and connections when comparing information given by native/non-native speakers","I didn't find in hard to place trust in the non-native speakers, or rather I didn't trust them less, but the information was quite recondite and very specialised, so while I appreciated their obvious intelligence and fluency in communicating abstract information in a non-native language, the accent did sometimes make it hard to fully understand what was being said and this is a problem with something I am ignorant of and that is quite info-dense","No","1","Yes","Yes",7,3,"nonnative"
"4",5,6,6,6,6,6,5,6,7,7,7,9,1,6,9,9,5,7,9,9,8,6.5,6,6.4,"England","Germany","Native speaker","Yes","2","From how the speakers described the horses","Understanding and Trustworthy of Native/Non-Native speakers?","","Yes","2","Yes","Yes",8,9,"native"
"5",6,5,5,4,2,3,7,7,8,9,8,6,4,5,6,7,7,6,5,8,7,5.83333333333333,3.8,7.8,"Scotland","Poland","Native speaker","Yes","2","The names of the horses","To see if non-native speakers have the same level of trust as native speakers","","Yes","2","Yes","Yes",9,8,"nonnative"
"6",8,3,3,3,2,2,2,2,2,3,2,6,2,2,3,4,6,2,3,1,2,3.83333333333333,2.6,2.2,"the UK","maybe Asia?","Non-native speaker","Yes","1","The native speaker paused a lot and delivered the info very poorly","","","Yes","1","Yes","Yes",7,9,"native"
"7",9,8,7,8,8,8,7,7,7,8,9,9,6,6,9,9,5,8,9,9,3,7.33333333333333,7.8,7.6,"England ","Eastern European","Native speaker","Yes","1","How well I could understand the description and how good the horse sounded ","To see whether we make judgements based on non-native speakers e.g., less likely to trust them/judge them as competent ","Some of the tech was not the best on my MacBook ","Yes","1","Yes","Yes",7,9,"native"
"8",12,8,7,7,6,6,7,7,7,7,7,9,7,5,8,8,6,5,8,9,2,7.16666666666667,6.8,7,"Italy","Scotland","Native speaker","No","1","based upon the information that I could understand (which was very little)","to understand trustworthiness based upon accent and clarity of speech","","No","1","Yes","Yes",5,9,"native"
"9",13,5,6,6,6,6,6,6,7,6,6,3,5,5,4,4,5,7,3,6,7,4.33333333333333,5.8,6.2,"spain","england","Native speaker","No","1","mostly equally but changed depending on the description","to see opinions based on native and non native speakers","","No","1","Yes","Yes",7,2,"nonnative"
"10",15,6,7,7,7,7,7,7,7,9,8,9,5,4,9,9,5,7,6,6,8,6.83333333333333,6.8,7.6,"Lancashire","Hungary","Native speaker","No","1","I merely split the bets evenly between the four horses. The information didn't seem conclusive in any way. ","Whether people perceive those that are more 'like' them as more helpful or trustworthy.","","No","1","Yes","Yes",8,6,"nonnative"
"11",17,5,5,5,6,6,5,6,6,5,6,6,4,5,5,5,5,5,3,4,6,5,5.4,5.6,"manchester, uk","madrid, spain","Native speaker","Yes","2","na","whether non-native is more trustworthy/competent from their tone of voice","na","Yes","2","Yes","Yes",6,4,"nonnative"
"12",19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,8,5,5,5,"yorkshire","spain","Native speaker","Yes","1","tried to listen to which horse was best","prejudice based on accent","","Yes","1","Yes","Yes",7,2,"nonnative"
"13",22,8,7,7,7,7,7,7,7,7,7,7,5,2,7,7,5,8,2,3,9,5.5,7.2,7,"England","Somewhere in Europe","Native speaker","No","1","Based on the information that was given to me that I was able to understand, although it was very hard to do so since I would have preferred to have done it after hearing all of the information.","To determine how people react to native speakers vs non-native speakers","I had a hard time answering a majority of the questions since I don't see how I could reasonably make judgements on someone's intelligence or trustworthiness or any of the other factors surveyed based on two very short voice clips of them talking about horse racing. I wish there was an option for \I don't have an opinion on this\ because I didn't have an opinion for 90% of the questions asked of me. I said that they were intelligent and trustworthy based on the fact that they are supposed to be excellent horse tipsters which is the information I was given in this study.","No","1","Yes","Yes",4,3,"nonnative"
"14",23,3,4,5,4,5,4,3,5,5,4,3,3,1,3,2,3,5,9,7,5,2.5,4.2,4.2,"England, Northern maybe","Spain ","Non-native speaker","Yes","1","Description and photo of horse","Find out how choice is impacted by fluency of language","","Yes","1","Yes","Yes",9,9,"native"
"15",24,7,8,8,8,6,7,8,8,9,9,9,6,5,3,9,6,9,2,7,8,6.33333333333333,7.4,8.2,"Bolton","Italy","Native speaker","Yes","1","I tried to understand which horse had the best chance of winning, however couldn't totally understand the non-native speaker first time so put some money on each horse just in case. I would've been more confident about betting large sums of money if I would have been able to hear her audio again.","To see if people have an unconscious bias towards native speakers of their first language","Fun study!","Yes","1","Yes","Yes",8,7,"nonnative"
"16",26,6,8,8,8,7,3,3,4,4,4,9,3,2,9,9,5,4,6,9,8,6.16666666666667,7.4,3.6,"England","Romania","Native speaker","No","1","Based on the horse they said was the most consistent","To see if people are more likely to place higher bets based on the percieved competency of native speakers over non native speakers","","No","1","Yes","Yes",4,9,"native"
"17",32,9,9,9,9,9,5,5,5,9,8,9,3,1,9,9,1,9,9,9,5,5.33333333333333,9,6.4,"Yorkshire","Spain","Native speaker","No","1","Based on the experts' comments","Not sure","","No","1","Yes","Yes",8,9,"native"
"18",33,6,7,8,7,7,5,4,5,6,5,7,5,4,7,8,6,7,8,8,7,6.16666666666667,7,5,"UK","Spain","Native speaker","Yes","1","Just tried to listen for positive information in what the speakers were saying and gave more money if I heard more positive info","Assess how understanding of accents affects peoples perception of information","","Yes","1","Yes","Yes",6,9,"native"
"19",39,4,4,5,5,4,3,1,1,4,3,6,2,2,7,7,3,3,6,6,4,4.5,4.4,2.4,"England","Spain","Non-native speaker","No","1","Based on how confident the speaker sounded","","","No","1","Yes","Yes",4,9,"native"
