subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
"4",2023-08-23_09:48:20,2023-08-23_11:48:20,2023-08-21_12:54:13,https://www.testable.org/experiment/4462/894184/start,315.189

rowNo,type,subjectGroup,stim1,stim2,stim3,stim4,stimFormat,stimPos,audio,condition1,condition2,condition3,condition4,label,head,responseRows,responseRowsRandom,key,button1,button2,button3,button4,button5,button6,button7,button8,responseType,responseOptions,responsePos,trialText,trialTextPos,randomBlock,content,required,pageBreak,if,then,condition5,ITI_ms,responseRows_actual,timestamp,response,RT,RTkeys,correct,responseCode
"2",form,"","","","","","","","",form,"","","","",What is your prolific ID?,"","","","","","","","","","","",box,"","","","","","","1","1","","",id,,"",8171,test2,3198,"","0",NA
"3",form,"","","","","","","","",form,"","","","",Were you born and raised in the United Kingdom?,"","","","","","","","","","","",checkboxes,Yes;No,"","","","","","1","1",responseCode=1,4;7,uk_born,,"",10794,Yes,2116,"","0","1"
"4",form,"","","","","","","","",form,"","","","",Do you currently live in the United Kingdom?,"","","","","","","","","","","",checkboxes,No;Yes,"","","","","","1","1",responseCode=2,5;7,uk_residency,,"",12443,Yes,1143,"","0","2"
"5",form,"","","","","","","","",form,"","","","",Is English your first language?,"","","","","","","","","","","",checkboxes,Yes;No,"","","","","If you learnt any other language before the age of six, because someone spoke to you in a language other than English, the answer is 'No'.","1","1",responseCode=1,8;7,eng_l1,,"",14066,Yes,1119,"","0","1"
"10",test,"",speaker-image,"","","",.jpg,"",adjust_volume.mp3,"","","","","","","","","1",T,M,Q,H,X,W,S,P,"","","",Please adjust your volume and follow the audio instruction.,above,"","","","",responseCode=!3,11;12,attention-check,"","",16459,"3",887,"","0",""
"70",test,"4",apocalypse,"","","",.jpg,"","",critical,apocalypse,native,fluent,apocalypse4,"","","","","","","","","","","","",box,max:200,below,"Place your bet on this horse: Enter a quantity, out of the two-hundred virtual pounds, in the box under the horse picture. <br> Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two'). <br> Press 'ENTER' in your keyboard once you are done.",above,"1","","1","","","",bet,"","",45226,"55",2978,2435;2626,"",""
"71",test,"4",apocalypse,"","","",.jpg,"","",critical,apocalypse,native,fluent,"","","","","",NEXT,"","","","","","","","","","",You bet %response[apocalypse4]% on Apocalypse. <br>Click 'NEXT' to continue to the next horse.,above,"1","","1","","","",move-on,"","",46067,"1",833,"","",""
"82",test,"4",silversky,"","","",.jpg,"","",critical,silversky,nonnative,fluent,silversky4,"","","","","","","","","","","","",box,max:200,below,"Place your bet on this horse: Enter a quantity, out of the two-hundred virtual pounds, in the box under the horse picture. <br> Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two'). <br> Press 'ENTER' in your keyboard once you are done.",above,"4","","1","","","",bet,"","",76442,"12",2517,1733;2021,"",""
"83",test,"4",silversky,"","","",.jpg,"","",critical,silversky,nonnative,fluent,"","","","","",NEXT,"","","","","","","","","","",You bet %response[silversky4]% on Silver Sky. <br>Click 'NEXT' to continue to the next horse.,above,"4","","1","","","",move-on,"","",76938,"1",492,"","",""
"74",test,"4",firewalker,"","","",.jpg,"","",critical,firewalker,nonnative,disfluent,firewalker4,"","","","","","","","","","","","",box,max:200,below,"Place your bet on this horse: Enter a quantity, out of the two-hundred virtual pounds, in the box under the horse picture. <br> Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two'). <br> Press 'ENTER' in your keyboard once you are done.",above,"2","","1","","","",bet,"","",118826,"7",1980,"1660","",""
