"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","firstbet","secondbet","thirdbet","total_bet","fixed_bet_over100","forthbet","thirdbet_fixed4thtrial","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","963","true","chrome","117.0.0","false","Windows 10","true","60.31","true","true","browser-check","0","998","0.0-0.0","2","3","4","63","0","54","8","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2760","0.0-1.0","2","3","4","63","0","54","8","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","10186","0.0-2.0","2","3","4","63","0","54","8","","7400","{""prolific_id"":""999"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","10920","0.0-4.0","2","3","4","63","0","54","8","","733","","","[{""page_index"":0,""viewing_time"":733}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","24112","0.0-5.0-0.0","2","3","4","63","0","54","8","","13171","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","25183","0.0-7.0","2","3","4","63","0","54","8","","1071","","","[{""page_index"":0,""viewing_time"":1071}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","25271","0.0-8.0","2","3","4","63","0","54","8","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","26400","0.0-9.0","2","3","4","63","0","54","8","","1129","k","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","67057","0.0-10.0","2","3","4","63","0","54","8","","67580","{""blackblade"":""2""}","","","","","","","","firstbet","no","native","disfluent","4","blackblade"
"","","","","","","","","","","","audio-survey-input-response","9","101680","0.0-11.0","2","3","4","63","0","54","8","","102162","{""blackblade"":"""",""apocalypse"":""3""}","","","","","","","","secondbet","no","native","fluent","4","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","147880","0.0-12.0","2","3","4","63","0","54","8","","148328","{""blackblade"":"""",""apocalypse"":"""",""firewalker"":""4""}","","","","","","","","thirdbet","no","nonnative","disfluent","4","firewalker"
"","","","","","","","","","","","audio-survey-input-response","11","183776","0.0-13.0","2","3","4","63","0","54","8","","184178","{""blackblade"":"""",""apocalypse"":"""",""firewalker"":""8"",""silversky"":""54""}","","","","","","","","forthbet","no","nonnative","fluent","4","silversky"
"","","","","","","","","","","","instructions","12","184775","0.0-15.0","2","3","4","63","0","54","8","","999","","","[{""page_index"":0,""viewing_time"":999}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","197318","0.0-16.0","2","3","4","63","0","54","8","","12520","{""P0_Q0"":null,""competent_nonnative"":1,""smart_nonnative"":8,""educated_nonnative"":7,""intelligent_nonnative"":6,""successful_nonnative"":8,""P1_Q0"":null,""sociable_nonnative"":2,""friendly_nonnative"":8,""nice_nonnative"":8,""honest_nonnative"":8,""pleasant_nonnative"":8,""P2_Q0"":null,""trustworthy_nonnative"":4,""easy_nonnative"":7,""fluent_nonnative"":7,""strong_nonnative"":7,""P3_Q0"":null,""irritated_nonnative"":3,""interested_nonnative"":8,""enthusiastic_nonnative"":4,""frustrated_nonnative"":8,""annoyed_nonnative"":8,""happy_nonnative"":8}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","210652","0.0-17.0","2","3","4","63","0","54","8","","13323","{""P0_Q0"":null,""irritated_native"":3,""interested_native"":9,""enthusiastic_native"":6,""frustrated_native"":8,""annoyed_native"":7,""happy_native"":9,""P1_Q0"":null,""competent_native"":2,""smart_native"":7,""educated_native"":5,""intelligent_native"":7,""successful_native"":7,""P2_Q0"":null,""sociable_native"":4,""friendly_native"":9,""nice_native"":8,""honest_native"":9,""pleasant_native"":8,""P3_Q0"":null,""trustworthy_native"":3,""easy_native"":10,""fluent_native"":8,""strong_native"":9}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","220108","0.0-18.0","2","3","4","63","0","54","8","","9445","{""P0_Q0"":null,""exposure_nn"":6,""exposure_n"":4,""P0_Q3"":null,""P0_Q4"":""Yes"",""P0_Q5"":4,""P1_Q0"":null,""naturalness_native"":5,""naturalness_nonnative"":3,""P1_Q3"":"""",""P1_Q4"":""""}","[{""P0_Q4"":true}]","","","","","","","survey_checks","","","","",""
