"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","firstbet","secondbet","thirdbet","total_bet","fixed_bet_over100","forthbet","apocalypse_fix","blackblade_fix","silversky_fix","firewalker_fix","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","963","true","chrome","117.0.0","false","Windows 10","true","60.01","true","true","browser-check","0","1006","0.0-0.0","100","2","3","0","89","3","89","0","0","0","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3081","0.0-1.0","100","2","3","0","89","3","89","0","0","0","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","10237","0.0-2.0","100","2","3","0","89","3","89","0","0","0","","7128","{""prolific_id"":""789"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","10990","0.0-4.0","100","2","3","0","89","3","89","0","0","0","","753","","","[{""page_index"":0,""viewing_time"":752}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","19342","0.0-5.0-0.0","100","2","3","0","89","3","89","0","0","0","","8331","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","19998","0.0-7.0","100","2","3","0","89","3","89","0","0","0","","655","","","[{""page_index"":0,""viewing_time"":655}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","20097","0.0-8.0","100","2","3","0","89","3","89","0","0","0","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","21286","0.0-9.0","100","2","3","0","89","3","89","0","0","0","","1189","h","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","45687","0.0-10.0","100","2","3","0","89","3","89","0","0","0","","47066","{""apocalypse"":""100""}","","","","","","","","firstbet","no","native","fluent","4","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","9","77262","0.0-11.0","100","2","3","0","89","3","89","0","0","0","","78617","{""apocalypse"":"""",""silversky"":""2""}","","","","","","","","secondbet","no","nonnative","fluent","4","silversky"
"","","","","","","","","","","","audio-survey-input-response","10","118087","0.0-12.0","100","2","3","0","89","3","89","0","0","0","","119411","{""apocalypse"":"""",""silversky"":"""",""firewalker"":""3""}","","","","","","","","thirdbet","no","nonnative","disfluent","4","firewalker"
"","","","","","","","","","","","audio-survey-input-response","11","158230","0.0-13.0","100","2","3","0","89","3","89","0","0","0","","159514","{""apocalypse"":"""",""silversky"":"""",""firewalker"":"""",""blackblade"":""3""}","","","","","","","","forthbet","no","native","disfluent","4","blackblade"
"","","","","","","","","","","","survey-html-form","12","181823","0.0-14.0-0.0-0.0","100","2","3","0","89","3","89","0","0","0","","23591","{""apocalypse"":""89"",""silversky"":""0"",""firewalker"":""0"",""blackblade"":""0""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","instructions","13","192549","0.0-15.0","100","2","3","0","89","3","89","0","0","0","","10726","","","[{""page_index"":0,""viewing_time"":10725}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","14","206804","0.0-16.0","100","2","3","0","89","3","89","0","0","0","","14236","{""P0_Q0"":null,""trustworthy_native"":1,""easy_native"":7,""fluent_native"":2,""strong_native"":8,""P1_Q0"":null,""competent_native"":1,""smart_native"":10,""educated_native"":2,""intelligent_native"":7,""successful_native"":2,""P2_Q0"":null,""sociable_native"":3,""friendly_native"":8,""nice_native"":3,""honest_native"":6,""pleasant_native"":2,""P3_Q0"":null,""irritated_native"":7,""interested_native"":4,""enthusiastic_native"":5,""frustrated_native"":4,""annoyed_native"":6,""happy_native"":4}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","220571","0.0-17.0","100","2","3","0","89","3","89","0","0","0","","13755","{""P0_Q0"":null,""competent_nonnative"":3,""smart_nonnative"":9,""educated_nonnative"":3,""intelligent_nonnative"":8,""successful_nonnative"":5,""P1_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":6,""enthusiastic_nonnative"":2,""frustrated_nonnative"":7,""annoyed_nonnative"":4,""happy_nonnative"":8,""P2_Q0"":null,""trustworthy_nonnative"":3,""easy_nonnative"":8,""fluent_nonnative"":4,""strong_nonnative"":7,""P3_Q0"":null,""sociable_nonnative"":1,""friendly_nonnative"":6,""nice_nonnative"":4,""honest_nonnative"":7,""pleasant_nonnative"":6}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","16","225642","0.0-18.0","100","2","3","0","89","3","89","0","0","0","","5059","{""P0_Q0"":null,""exposure_nn"":6,""exposure_n"":5,""P0_Q3"":null,""P0_Q4"":""Yes"",""P0_Q5"":1,""P1_Q0"":null,""naturalness_native"":7,""naturalness_nonnative"":4,""P1_Q3"":"""",""P1_Q4"":""""}","[{""P0_Q4"":true}]","","","","","","","survey_checks","","","","",""
