"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","firstbet","secondbet","firstbet_fixed2ndtrial","thirdbet","total_bet","fixed_bet_over100","forthbet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","963","true","chrome","117.0.0","false","Windows 10","true","60.02","true","true","browser-check","0","1013","0.0-0.0","2","25","8","25","67","0","9","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","6532","0.0-1.0","2","25","8","25","67","0","9","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","15314","0.0-2.0","2","25","8","25","67","0","9","","8748","{""prolific_id"":""52"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","24616","0.0-4.0","2","25","8","25","67","0","9","","9302","","","[{""page_index"":0,""viewing_time"":9301}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","32687","0.0-5.0-0.0","2","25","8","25","67","0","9","","8048","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","34995","0.0-7.0","2","25","8","25","67","0","9","","2307","","","[{""page_index"":0,""viewing_time"":2307}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","35083","0.0-8.0","2","25","8","25","67","0","9","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","36359","0.0-9.0","2","25","8","25","67","0","9","","1275","g","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","77951","0.0-10.0","2","25","8","25","67","0","9","","79010","{""blackblade"":""2""}","","","","","","","","firstbet","no","native","disfluent","3","blackblade"
"","","","","","","","","","","","audio-survey-input-response","9","121023","0.0-11.0","2","25","8","25","67","0","9","","122040","{""blackblade"":""8"",""silversky"":""25""}","","","","","","","","secondbet","no","nonnative","disfluent","3","silversky"
"","","","","","","","","","","","audio-survey-input-response","10","145951","0.0-12.0","2","25","8","25","67","0","9","","146925","{""blackblade"":"""",""silversky"":"""",""apocalypse"":""25""}","","","","","","","","thirdbet","no","native","fluent","3","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","11","173671","0.0-13.0","2","25","8","25","67","0","9","","174620","{""blackblade"":"""",""silversky"":"""",""apocalypse"":"""",""firewalker"":""9""}","","","","","","","","forthbet","no","nonnative","fluent","3","firewalker"
"","","","","","","","","","","","instructions","12","174862","0.0-15.0","2","25","8","25","67","0","9","","1191","","","[{""page_index"":0,""viewing_time"":1191}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","189365","0.0-16.0","2","25","8","25","67","0","9","","14478","{""P0_Q0"":null,""competent_native"":0,""smart_native"":8,""educated_native"":7,""intelligent_native"":7,""successful_native"":7,""P1_Q0"":null,""trustworthy_native"":2,""easy_native"":6,""fluent_native"":6,""strong_native"":7,""P2_Q0"":null,""sociable_native"":2,""friendly_native"":4,""nice_native"":4,""honest_native"":6,""pleasant_native"":6,""P3_Q0"":null,""irritated_native"":3,""interested_native"":7,""enthusiastic_native"":5,""frustrated_native"":8,""annoyed_native"":8,""happy_native"":9}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","203875","0.0-17.0","2","25","8","25","67","0","9","","14497","{""P0_Q0"":null,""competent_nonnative"":3,""smart_nonnative"":8,""educated_nonnative"":5,""intelligent_nonnative"":7,""successful_nonnative"":7,""P1_Q0"":null,""irritated_nonnative"":5,""interested_nonnative"":7,""enthusiastic_nonnative"":6,""frustrated_nonnative"":8,""annoyed_nonnative"":7,""happy_nonnative"":9,""P2_Q0"":null,""sociable_nonnative"":8,""friendly_nonnative"":8,""nice_nonnative"":8,""honest_nonnative"":8,""pleasant_nonnative"":8,""P3_Q0"":null,""trustworthy_nonnative"":8,""easy_nonnative"":9,""fluent_nonnative"":9,""strong_nonnative"":9}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","210309","0.0-18.0","2","25","8","25","67","0","9","","6421","{""P0_Q0"":null,""exposure_nn"":8,""exposure_n"":6,""P0_Q3"":null,""P0_Q4"":""Yes"",""P0_Q5"":4,""P1_Q0"":null,""naturalness_native"":7,""naturalness_nonnative"":5,""P1_Q3"":"""",""P1_Q4"":""""}","[{""P0_Q4"":true}]","","","","","","","survey_checks","","","","",""
