"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","firstbet","secondbet","thirdbet","firstbet_fixed3rdtrial","total_bet","fixed_bet_over100","forthbet","apocalypse_fix","blackblade_fix","silversky_fix","firewalker_fix","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","963","true","chrome","117.0.0","false","Windows 10","true","60.01","true","true","browser-check","0","1014","0.0-0.0","8","8","56","9","0","48","88","12","12","12","12","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2753","0.0-1.0","8","8","56","9","0","48","88","12","12","12","12","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","19959","0.0-2.0","8","8","56","9","0","48","88","12","12","12","12","","17172","{""prolific_id"":""345"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","21164","0.0-4.0","8","8","56","9","0","48","88","12","12","12","12","","1205","","","[{""page_index"":0,""viewing_time"":1204}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","27468","0.0-5.0-0.0","8","8","56","9","0","48","88","12","12","12","12","","6280","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","28854","0.0-7.0","8","8","56","9","0","48","88","12","12","12","12","","1386","","","[{""page_index"":0,""viewing_time"":1386}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","28937","0.0-8.0","8","8","56","9","0","48","88","12","12","12","12","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","36717","0.0-9.0","8","8","56","9","0","48","88","12","12","12","12","","7779","8","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","79468","0.0-10.0","8","8","56","9","0","48","88","12","12","12","12","","80913","{""apocalypse"":""8""}","","","","","","","","firstbet","no","native","fluent","2","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","9","116020","0.0-11.0","8","8","56","9","0","48","88","12","12","12","12","","117423","{""apocalypse"":"""",""blackblade"":""8""}","","","","","","","","secondbet","no","nonnative","disfluent","2","blackblade"
"","","","","","","","","","","","audio-survey-input-response","10","149613","0.0-12.0","8","8","56","9","0","48","88","12","12","12","12","","150979","{""apocalypse"":""9"",""blackblade"":"""",""silversky"":""56""}","","","","","","","","thirdbet","no","nonnative","fluent","2","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","193356","0.0-13.0","8","8","56","9","0","48","88","12","12","12","12","","194688","{""apocalypse"":"""",""blackblade"":"""",""silversky"":"""",""firewalker"":""88""}","","","","","","","","forthbet","no","native","disfluent","2","firewalker"
"","","","","","","","","","","","survey-html-form","12","215812","0.0-14.0-0.0-0.0","8","8","56","9","0","48","88","12","12","12","12","","22455","{""apocalypse"":""45"",""blackblade"":""34"",""silversky"":""34"",""firewalker"":""34""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","survey-html-form","13","223276","0.0-14.0-0.1-0.1","8","8","56","9","0","48","88","12","12","12","12","","7462","{""apocalypse"":""12"",""blackblade"":""12"",""silversky"":""12"",""firewalker"":""12""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","instructions","14","224428","0.0-15.0","8","8","56","9","0","48","88","12","12","12","12","","1152","","","[{""page_index"":0,""viewing_time"":1151}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","15","240365","0.0-16.0","8","8","56","9","0","48","88","12","12","12","12","","15911","{""P0_Q0"":null,""competent_native"":2,""smart_native"":8,""educated_native"":3,""intelligent_native"":10,""successful_native"":3,""P1_Q0"":null,""trustworthy_native"":2,""easy_native"":9,""fluent_native"":3,""strong_native"":9,""P2_Q0"":null,""sociable_native"":3,""friendly_native"":8,""nice_native"":2,""honest_native"":6,""pleasant_native"":4,""P3_Q0"":null,""irritated_native"":3,""interested_native"":7,""enthusiastic_native"":3,""frustrated_native"":9,""annoyed_native"":5,""happy_native"":6}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","16","253377","0.0-17.0","8","8","56","9","0","48","88","12","12","12","12","","13000","{""P0_Q0"":null,""competent_nonnative"":3,""smart_nonnative"":8,""educated_nonnative"":4,""intelligent_nonnative"":7,""successful_nonnative"":4,""P1_Q0"":null,""sociable_nonnative"":9,""friendly_nonnative"":8,""nice_nonnative"":9,""honest_nonnative"":9,""pleasant_nonnative"":9,""P2_Q0"":null,""trustworthy_nonnative"":8,""easy_nonnative"":8,""fluent_nonnative"":8,""strong_nonnative"":8,""P3_Q0"":null,""irritated_nonnative"":8,""interested_nonnative"":8,""enthusiastic_nonnative"":8,""frustrated_nonnative"":8,""annoyed_nonnative"":8,""happy_nonnative"":8}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","17","258401","0.0-18.0","8","8","56","9","0","48","88","12","12","12","12","","5011","{""P0_Q0"":null,""exposure_nn"":8,""exposure_n"":6,""P0_Q3"":null,""P0_Q4"":""Yes"",""P0_Q5"":4,""P1_Q0"":null,""naturalness_native"":7,""naturalness_nonnative"":5,""P1_Q3"":"""",""P1_Q4"":""""}","[{""P0_Q4"":true}]","","","","","","","survey_checks","","","","",""
