"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","firstbet","secondbet","thirdbet","total_bet","fixed_bet_over100","forthbet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","963","true","chrome","117.0.0","false","Windows 10","true","60.01","true","true","browser-check","0","1015","0.0-0.0","1","2","3","10","0","4","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2897","0.0-1.0","1","2","3","10","0","4","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","9922","0.0-2.0","1","2","3","10","0","4","","6995","{""prolific_id"":""123"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","10872","0.0-4.0","1","2","3","10","0","4","","949","","","[{""page_index"":0,""viewing_time"":949}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","29352","0.0-5.0-0.0","1","2","3","10","0","4","","18451","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","31368","0.0-7.0","1","2","3","10","0","4","","2015","","","[{""page_index"":0,""viewing_time"":2015}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","31453","0.0-8.0","1","2","3","10","0","4","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","32952","0.0-9.0","1","2","3","10","0","4","","1499","h","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","66280","0.0-10.0","1","2","3","10","0","4","","66814","{""silversky"":""1""}","","","","","","","","firstbet","no","nonnative","fluent","2","silversky"
"","","","","","","","","","","","audio-survey-input-response","9","104632","0.0-11.0","1","2","3","10","0","4","","105133","{""silversky"":"""",""blackblade"":""2""}","","","","","","","","secondbet","no","nonnative","disfluent","2","blackblade"
"","","","","","","","","","","","audio-survey-input-response","10","147752","0.0-12.0","1","2","3","10","0","4","","148214","{""silversky"":"""",""blackblade"":"""",""firewalker"":""3""}","","","","","","","","thirdbet","no","native","disfluent","2","firewalker"
"","","","","","","","","","","","audio-survey-input-response","11","179016","0.0-13.0","1","2","3","10","0","4","","179435","{""silversky"":"""",""blackblade"":"""",""firewalker"":"""",""apocalypse"":""4""}","","","","","","","","forthbet","no","native","fluent","2","apocalypse"
"","","","","","","","","","","","instructions","12","179792","0.0-15.0","1","2","3","10","0","4","","776","","","[{""page_index"":0,""viewing_time"":776}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","193004","0.0-16.0","1","2","3","10","0","4","","13185","{""P0_Q0"":null,""competent_nonnative"":0,""smart_nonnative"":6,""educated_nonnative"":2,""intelligent_nonnative"":6,""successful_nonnative"":3,""P1_Q0"":null,""trustworthy_nonnative"":3,""easy_nonnative"":8,""fluent_nonnative"":3,""strong_nonnative"":7,""P2_Q0"":null,""irritated_nonnative"":1,""interested_nonnative"":7,""enthusiastic_nonnative"":1,""frustrated_nonnative"":7,""annoyed_nonnative"":2,""happy_nonnative"":9,""P3_Q0"":null,""sociable_nonnative"":1,""friendly_nonnative"":7,""nice_nonnative"":2,""honest_nonnative"":8,""pleasant_nonnative"":2}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","209220","0.0-17.0","1","2","3","10","0","4","","16200","{""P0_Q0"":null,""trustworthy_native"":1,""easy_native"":9,""fluent_native"":2,""strong_native"":7,""P1_Q0"":null,""irritated_native"":1,""interested_native"":7,""enthusiastic_native"":1,""frustrated_native"":7,""annoyed_native"":3,""happy_native"":7,""P2_Q0"":null,""competent_native"":1,""smart_native"":7,""educated_native"":2,""intelligent_native"":7,""successful_native"":3,""P3_Q0"":null,""sociable_native"":3,""friendly_native"":9,""nice_native"":3,""honest_native"":9,""pleasant_native"":4}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","214988","0.0-18.0","1","2","3","10","0","4","","5754","{""P0_Q0"":null,""exposure_nn"":4,""exposure_n"":1,""P0_Q3"":null,""P0_Q4"":""Yes"",""P0_Q5"":1,""P1_Q0"":null,""naturalness_native"":8,""naturalness_nonnative"":5,""P1_Q3"":"""",""P1_Q4"":""""}","[{""P0_Q4"":true}]","","","","","","","survey_checks","","","","",""
