"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","firstbet","secondbet","thirdbet","total_bet","fixed_bet_over100","forthbet","secondbet_fixed4thtrial","thirdbet_fixed4thtrial","apocalypse_fix","blackblade_fix","silversky_fix","firewalker_fix","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","963","true","chrome","117.0.0","false","Windows 10","true","60.37","true","true","browser-check","0","999","0.0-0.0","1","2","78","0","66","26","89","5","8","56","1","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2948","0.0-1.0","1","2","78","0","66","26","89","5","8","56","1","1","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","10280","0.0-2.0","1","2","78","0","66","26","89","5","8","56","1","1","","7315","{""prolific_id"":""635"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","11791","0.0-4.0","1","2","78","0","66","26","89","5","8","56","1","1","","1510","","","[{""page_index"":0,""viewing_time"":1509}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","24286","0.0-5.0-0.0","1","2","78","0","66","26","89","5","8","56","1","1","","12480","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","27910","0.0-7.0","1","2","78","0","66","26","89","5","8","56","1","1","","3623","","","[{""page_index"":0,""viewing_time"":3623}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","28005","0.0-8.0","1","2","78","0","66","26","89","5","8","56","1","1","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","29094","0.0-9.0","1","2","78","0","66","26","89","5","8","56","1","1","","1088","k","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","68191","0.0-10.0","1","2","78","0","66","26","89","5","8","56","1","1","","69546","{""blackblade"":""1""}","","","","","","","","firstbet","no","native","disfluent","4","blackblade"
"","","","","","","","","","","","audio-survey-input-response","9","95999","0.0-11.0","1","2","78","0","66","26","89","5","8","56","1","1","","97315","{""blackblade"":"""",""apocalypse"":""2""}","","","","","","","","secondbet","no","native","fluent","4","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","136710","0.0-12.0","1","2","78","0","66","26","89","5","8","56","1","1","","137998","{""blackblade"":"""",""apocalypse"":"""",""silversky"":""78""}","","","","","","","","thirdbet","no","nonnative","fluent","4","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","185134","0.0-13.0","1","2","78","0","66","26","89","5","8","56","1","1","","186382","{""blackblade"":"""",""apocalypse"":""89"",""silversky"":""5"",""firewalker"":""26""}","","","","","","","","forthbet","no","nonnative","disfluent","4","firewalker"
"","","","","","","","","","","","survey-html-form","12","197175","0.0-14.0-0.0-0.0","1","2","78","0","66","26","89","5","8","56","1","1","","12039","{""blackblade"":""56"",""apocalypse"":""8"",""silversky"":""1"",""firewalker"":""1""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","instructions","13","199102","0.0-15.0","1","2","78","0","66","26","89","5","8","56","1","1","","1927","","","[{""page_index"":0,""viewing_time"":1927}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","14","213265","0.0-16.0","1","2","78","0","66","26","89","5","8","56","1","1","","14139","{""P0_Q0"":null,""trustworthy_native"":2,""easy_native"":3,""fluent_native"":3,""strong_native"":3,""P1_Q0"":null,""competent_native"":3,""smart_native"":5,""educated_native"":4,""intelligent_native"":4,""successful_native"":4,""P2_Q0"":null,""irritated_native"":4,""interested_native"":4,""enthusiastic_native"":4,""frustrated_native"":4,""annoyed_native"":4,""happy_native"":4,""P3_Q0"":null,""sociable_native"":7,""friendly_native"":7,""nice_native"":7,""honest_native"":7,""pleasant_native"":7}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","238011","0.0-17.0","1","2","78","0","66","26","89","5","8","56","1","1","","24736","{""P0_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":8,""fluent_nonnative"":8,""strong_nonnative"":8,""P1_Q0"":null,""irritated_nonnative"":7,""interested_nonnative"":7,""enthusiastic_nonnative"":7,""frustrated_nonnative"":7,""annoyed_nonnative"":7,""happy_nonnative"":7,""P2_Q0"":null,""competent_nonnative"":8,""smart_nonnative"":9,""educated_nonnative"":8,""intelligent_nonnative"":8,""successful_nonnative"":8,""P3_Q0"":null,""sociable_nonnative"":9,""friendly_nonnative"":9,""nice_nonnative"":9,""honest_nonnative"":9,""pleasant_nonnative"":9}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","16","244522","0.0-18.0","1","2","78","0","66","26","89","5","8","56","1","1","","6498","{""P0_Q0"":null,""exposure_nn"":7,""exposure_n"":7,""P0_Q3"":null,""P0_Q4"":""Yes"",""P0_Q5"":5,""P1_Q0"":null,""naturalness_native"":6,""naturalness_nonnative"":6,""P1_Q3"":"""",""P1_Q4"":""""}","[{""P0_Q4"":true}]","","","","","","","survey_checks","","","","",""
