"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","horse0_fix","horse1_fix","horse2_fix","horse3_fix","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1366","644","true","chrome","117.0.0","false","Chrome OS","true","61.07","true","true","browser-check","0","991","0.0-0.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","7675","0.0-1.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","22737","0.0-2.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","14943","{""prolific_id"":""59525333ab3b160001b92119"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","40314","0.0-4.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","17572","","","[{""page_index"":0,""viewing_time"":17570}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","48650","0.0-5.0-0.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","8075","8","","","false","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","5","55552","0.0-5.1-0.1","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","6901","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","6","80300","0.0-7.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","24746","","","[{""page_index"":0,""viewing_time"":24745}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","80865","0.0-8.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","131241","0.0-9.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","50374","arrowdown","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","9","172685","0.0-10.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","174584","{""blackblade"":""25.00""}","","","","","","","","firstbet","no","nonnative","disfluent","9","blackblade"
"","","","","","","","","","","","audio-survey-input-response","10","203573","0.0-11.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","205430","{""blackblade"":"""",""silversky"":""30.00""}","","","","","","","","secondbet","no","native","fluent","9","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","236326","0.0-12.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","238152","{""blackblade"":"""",""silversky"":"""",""firewalker"":""25""}","","","","","","","","thirdbet","no","nonnative","fluent","9","firewalker"
"","","","","","","","","","","","audio-survey-input-response","12","275823","0.0-13.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","277617","{""blackblade"":"""",""silversky"":"""",""firewalker"":"""",""apocalypse"":""20.00""}","","","","","","","","forthbet","no","native","disfluent","9","apocalypse"
"","","","","","","","","","","","survey-html-form","13","318399","0.0-14.0-0.0-0.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","42568","{""blackblade"":""20.00"",""silversky"":""30.00"",""firewalker"":""30.00"",""apocalypse"":""20.00""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","instructions","14","322839","0.0-15.0","0","100","25.00","30.00","","20.00","20.00","30.00","30.00","20.00","","4438","","","[{""page_index"":0,""viewing_time"":4438}]","","","","","","","","","","",""
