"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","horse0_fix","horse1_fix","horse2_fix","horse3_fix","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","956","true","chrome","116.0.0","false","Chrome OS","true","60","true","true","browser-check","0","1012","0.0-0.0","0","100","20","35","","25","20","35","20","25","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","4111","0.0-1.0","0","100","20","35","","25","20","35","20","25","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","26895","0.0-2.0","0","100","20","35","","25","20","35","20","25","","22741","{""prolific_id"":""5c869309a3413000155866c0"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","36375","0.0-4.0","0","100","20","35","","25","20","35","20","25","","9479","","","[{""page_index"":0,""viewing_time"":9478}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","46592","0.0-5.0-0.0","0","100","20","35","","25","20","35","20","25","","10059","8","","","false","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","5","51982","0.0-5.1-0.1","0","100","20","35","","25","20","35","20","25","","5387","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","6","85934","0.0-7.0","0","100","20","35","","25","20","35","20","25","","33950","","","[{""page_index"":0,""viewing_time"":33950}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","7","86455","0.0-8.0","0","100","20","35","","25","20","35","20","25","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","123102","0.0-9.0","0","100","20","35","","25","20","35","20","25","","36646"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","9","175520","0.0-10.0","0","100","20","35","","25","20","35","20","25","","185107","{""firewalker"":""20""}","","","","","","","","firstbet","no","nonnative","disfluent","6","firewalker"
"","","","","","","","","","","","audio-survey-input-response","10","225270","0.0-11.0","0","100","20","35","","25","20","35","20","25","","234805","{""firewalker"":"""",""silversky"":""35""}","","","","","","","","secondbet","no","nonnative","fluent","6","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","273591","0.0-12.0","0","100","20","35","","25","20","35","20","25","","283076","{""firewalker"":"""",""silversky"":"""",""blackblade"":""20""}","","","","","","","","thirdbet","no","native","disfluent","6","blackblade"
"","","","","","","","","","","","audio-survey-input-response","12","314918","0.0-13.0","0","100","20","35","","25","20","35","20","25","","324355","{""firewalker"":"""",""silversky"":"""",""blackblade"":"""",""apocalypse"":""25""}","","","","","","","","forthbet","no","native","fluent","6","apocalypse"
"","","","","","","","","","","","survey-html-form","13","351239","0.0-14.0-0.0-0.0","0","100","20","35","","25","20","35","20","25","","36315","{""firewalker"":""20"",""silversky"":""35"",""blackblade"":""20"",""apocalypse"":""25""}","","","","","","","","overbet","yes","","","",""
"","","","","","","","","","","","instructions","14","358149","0.0-15.0","0","100","20","35","","25","20","35","20","25","","6909","","","[{""page_index"":0,""viewing_time"":6908}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","15","455993","0.0-16.0","0","100","20","35","","25","20","35","20","25","","97809","{""P0_Q0"":null,""trustworthy_nonnative"":8,""easy_nonnative"":6,""fluent_nonnative"":7,""strong_nonnative"":7,""P1_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":8,""nice_nonnative"":8,""honest_nonnative"":7,""pleasant_nonnative"":8,""P2_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":7,""enthusiastic_nonnative"":8,""frustrated_nonnative"":3,""annoyed_nonnative"":2,""happy_nonnative"":5,""P3_Q0"":null,""competent_nonnative"":8,""smart_nonnative"":8,""educated_nonnative"":9,""intelligent_nonnative"":9,""successful_nonnative"":8}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","16","567451","0.0-17.0","0","100","20","35","","25","20","35","20","25","","111437","{""P0_Q0"":null,""sociable_native"":3,""friendly_native"":3,""nice_native"":4,""honest_native"":5,""pleasant_native"":4,""P1_Q0"":null,""irritated_native"":6,""interested_native"":3,""enthusiastic_native"":3,""frustrated_native"":5,""annoyed_native"":5,""happy_native"":4,""P2_Q0"":null,""competent_native"":7,""smart_native"":7,""educated_native"":7,""intelligent_native"":7,""successful_native"":5,""P3_Q0"":null,""trustworthy_native"":6,""easy_native"":9,""fluent_native"":9,""strong_native"":6}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","17","687575","0.0-18.0","0","100","20","35","","25","20","35","20","25","","120100","{""P0_Q0"":null,""country_native"":""Yorkshire"",""country_nonnative"":""France"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":2,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":8,""naturalness_nonnative"":8,""decision_making"":""Confidence in the descriptions, lack of fillers, as well as speed of the descriptions"",""P2_Q4"":"""",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
