"","ppt","horse","list","delivery","overbet","speaker","response","horse3","horse2","horse1","horse0","trial_type","trial_index"
"1",1,NA,NA,NA,NA,NA,NA,30,40,25,5,"browser-check",0
"2",1,NA,NA,NA,NA,NA,NA,30,40,25,5,"fullscreen",1
"3",1,NA,NA,NA,NA,NA,NA,30,40,25,5,"instructions",3
"4",1,NA,NA,NA,NA,NA,"2",30,40,25,5,"audio-button-response",4
"5",1,NA,NA,NA,NA,NA,NA,30,40,25,5,"instructions",5
"6",1,NA,NA,NA,NA,NA,NA,30,40,25,5,"preload",6
"7",1,NA,NA,NA,NA,NA,"f11",30,40,25,5,"html-keyboard-response",7
"8",1,"firewalker",2,"disfluent","no","native","{""firewalker"":""5""}",30,40,25,5,"audio-survey-input-response",8
"9",1,"blackblade",2,"fluent","no","nonnative","{""firewalker"":"""",""blackblade"":""10""}",30,40,25,5,"audio-survey-input-response",9
"10",1,"silversky",2,"disfluent","no","nonnative","{""firewalker"":"""",""blackblade"":"""",""silversky"":""30""}",30,40,25,5,"audio-survey-input-response",10
"11",1,"apocalypse",2,"fluent","no","native","{""firewalker"":"""",""blackblade"":""25"",""silversky"":""40"",""apocalypse"":""30""}",30,40,25,5,"audio-survey-input-response",11
"12",1,NA,NA,NA,NA,NA,NA,30,40,25,5,"instructions",12
"13",1,NA,NA,NA,NA,"non-native","{""P0_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":8,""educated_nonnative"":8,""intelligent_nonnative"":8,""successful_nonnative"":8,""P1_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":6,""nice_nonnative"":6,""honest_nonnative"":7,""pleasant_nonnative"":7,""P2_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":6,""enthusiastic_nonnative"":6,""frustrated_nonnative"":4,""annoyed_nonnative"":2,""happy_nonnative"":5,""P3_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":8,""fluent_nonnative"":7,""strong_nonnative"":9}",30,40,25,5,"survey",13
"14",1,NA,NA,NA,NA,"native","{""P0_Q0"":null,""trustworthy_native"":7,""easy_native"":7,""fluent_native"":6,""strong_native"":9,""P1_Q0"":null,""irritated_native"":4,""interested_native"":6,""enthusiastic_native"":6,""frustrated_native"":4,""annoyed_native"":2,""happy_native"":5,""P2_Q0"":null,""sociable_native"":4,""friendly_native"":2,""nice_native"":2,""honest_native"":6,""pleasant_native"":4,""P3_Q0"":null,""competent_native"":5,""smart_native"":5,""educated_native"":5,""intelligent_native"":5,""successful_native"":6}",30,40,25,5,"survey",14
"15",1,NA,NA,NA,NA,NA,"{""P0_Q0"":null,""country_native"":""London"",""country_nonnative"":""Italy"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":2,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":7,""naturalness_nonnative"":7,""decision_making"":""Based on what the speakers said"",""P2_Q4"":""To see whether you place more money in a bet on the native speaker vs the foreign speaker"",""P2_Q5"":""""}",30,40,25,5,"survey",15
"16",2,NA,NA,NA,NA,NA,NA,15,35,20,30,"browser-check",0
"17",2,NA,NA,NA,NA,NA,NA,15,35,20,30,"fullscreen",1
"18",2,NA,NA,NA,NA,NA,NA,15,35,20,30,"instructions",3
"19",2,NA,NA,NA,NA,NA,"2",15,35,20,30,"audio-button-response",4
"20",2,NA,NA,NA,NA,NA,NA,15,35,20,30,"instructions",5
"21",2,NA,NA,NA,NA,NA,NA,15,35,20,30,"preload",6
"22",2,NA,NA,NA,NA,NA,"arrowright",15,35,20,30,"html-keyboard-response",7
"23",2,"silversky",3,"disfluent","no","native","{""silversky"":""30""}",15,35,20,30,"audio-survey-input-response",8
"24",2,"blackblade",3,"disfluent","no","nonnative","{""silversky"":"""",""blackblade"":""20""}",15,35,20,30,"audio-survey-input-response",9
"25",2,"apocalypse",3,"fluent","no","native","{""silversky"":"""",""blackblade"":"""",""apocalypse"":""35""}",15,35,20,30,"audio-survey-input-response",10
"26",2,"firewalker",3,"fluent","no","nonnative","{""silversky"":"""",""blackblade"":"""",""apocalypse"":"""",""firewalker"":""15""}",15,35,20,30,"audio-survey-input-response",11
