,ppt,country_native,country_nonnative,decision_making,P2_Q4,P2_Q5,Flag_Aim,Decision_Making,Additional_Comment
1,1,London,Italy,Based on what the speakers said,To see whether you place more money in a bet on the native speaker vs the foreign speaker,,No,Speakers said,N/A
2,3,Scotland,Spain,"Wording, tone and delivery of the speakers",Explore interpretations of native vs non-native speakers,,No,Delivery,N/A
3,4,"North of England - Nottinghamshire, or Yorkshire (South Yorkshire?)","I thought one sounded Spanish, the other French","It was difficult to gauge the likely success of the horses because none of them were described as dominant and dead certs, so I adjusted my previous bets accordingly when I learned about the next horse",To gauge trustworthiness and emotional responses and connections when comparing information given by native/non-native speakers,"I didn't find in hard to place trust in the non-native speakers, or rather I didn't trust them less, but the information was quite recondite and very specialised, so while I appreciated their obvious intelligence and fluency in communicating abstract information in a non-native language, the accent did sometimes make it hard to fully understand what was being said and this is a problem with something I am ignorant of and that is quite info-dense",No,Uncertainty,Trustworthiness + Accent
4,5,England,Germany,From how the speakers described the horses,Understanding and Trustworthy of Native/Non-Native speakers?,,No,Speakers said,Trustworthiness + Accent
5,6,Scotland,Poland,The names of the horses,To see if non-native speakers have the same level of trust as native speakers,,No,Names,Trustworthiness + Accent
6,8,the UK,maybe Asia?,The native speaker paused a lot and delivered the info very poorly,,,No,N/A,N/A
7,9,England ,Eastern European,How well I could understand the description and how good the horse sounded ,"To see whether we make judgements based on non-native speakers e.g., less likely to trust them/judge them as competent ",Some of the tech was not the best on my MacBook ,No,Speakers said,Trustworthiness + Accent
8,12,Italy,Scotland,based upon the information that I could understand (which was very little),to understand trustworthiness based upon accent and clarity of speech,,Yes,Speakers said,Trustworthiness + Accent
9,13,spain,england,mostly equally but changed depending on the description,to see opinions based on native and non native speakers,,No,Speakers said,N/A
10,15,Lancashire,Hungary,I merely split the bets evenly between the four horses. The information didn't seem conclusive in any way. ,Whether people perceive those that are more 'like' them as more helpful or trustworthy.,,No,N/A,N/A
11,17,"manchester, uk","madrid, spain",na,whether non-native is more trustworthy/competent from their tone of voice,na,No,N/A,Trustworthiness + Accent
12,19,yorkshire,spain,tried to listen to which horse was best,prejudice based on accent,,No,N/A,Accent
13,22,England,Somewhere in Europe,"Based on the information that was given to me that I was able to understand, although it was very hard to do so since I would have preferred to have done it after hearing all of the information.",To determine how people react to native speakers vs non-native speakers,I had a hard time answering a majority of the questions since I don't see how I could reasonably make judgements on someone's intelligence or trustworthiness or any of the other factors surveyed based on two very short voice clips of them talking about horse racing. I wish there was an option for \I don't have an opinion on this\ because I didn't have an opinion for 90% of the questions asked of me. I said that they were intelligent and trustworthy based on the fact that they are supposed to be excellent horse tipsters which is the information I was given in this study.,No,Speakers said,N/A
14,23,"England, Northern maybe",Spain ,Description and photo of horse,Find out how choice is impacted by fluency of language,,Yes,Speakers said,N/A
15,24,Bolton,Italy,"I tried to understand which horse had the best chance of winning, however couldn't totally understand the non-native speaker first time so put some money on each horse just in case. I would've been more confident about betting large sums of money if I would have been able to hear her audio again.",To see if people have an unconscious bias towards native speakers of their first language,Fun study!,No,Speakers said,Accent
16,26,England,Romania,Based on the horse they said was the most consistent,To see if people are more likely to place higher bets based on the percieved competency of native speakers over non native speakers,,No,Speakers said,Accent
17,32,Yorkshire,Spain,Based on the experts' comments,Not sure,,No,Speakers said,N/A
18,33,UK,Spain,Just tried to listen for positive information in what the speakers were saying and gave more money if I heard more positive info,Assess how understanding of accents affects peoples perception of information,,No,Speakers said,Accent
19,39,England,Spain,Based on how confident the speaker sounded,,,No,Confidence,N/A
20,40,Scotland,Poland,Based on the information given by the speakers.,To better understand how accents/fluency affect people's perception of intelligence/knowledge.,,Yes,Speakers said,Accent
21,43,Manchester,Spain,Based on which horse sounded the most likely to win,To determine how people percieve different accents,,No,Speakers said,Accent
