"","horse_name","fit.first_place","fit.second_place","fit.third_place","fit.forth_place"
"1","Air Ace",0.470738921927387,0.294711912913612,0.156933894838143,0.0776152703208586
"2","Brave Horizon",0.476336625780599,0.293121444279926,0.154518994287085,0.0760229356523907
"3","Neon Charger",0.0469764354137011,0.106185262171803,0.243925400494646,0.602912901919851
"4","Solar Flash",0.105544657958182,0.196600650618156,0.309752265174603,0.388102426249059
"5","Midnight Inferno",0.318736181781126,0.313167439797196,0.23019020312983,0.137906175291848
"6","Oblique Runner",0.277885415256592,0.307519879768661,0.251775747465301,0.162818957509445
"7","Worthing",0.206034435656235,0.281713316629201,0.288403992498584,0.22384825521598
"8","Flint Sonata",0.150051778962435,0.243068014422393,0.309160768945361,0.29771943766981
"9","Nimbus Crest",0.385217274894331,0.311669509653947,0.19641452418907,0.106698691262652
"10","Velvet Thunder",0.0498183370155618,0.111521574733974,0.250614052621258,0.588046035629206
"11","Flashfire",0.215634330789452,0.28653733106514,0.283845895891003,0.213982442254405
"12","Copper Legacy",0.0722085022865741,0.149925879349353,0.287646170941682,0.490219447422391
"13","Karerin",0.256885248280215,0.302275568247255,0.262868238453365,0.177970945019165
"14","Leeloo",0.122463791778711,0.216184245106112,0.31226923588009,0.349082727235086
"15","Green Dusk",0.0459096262335223,0.104153553619823,0.241271084772245,0.60866573537441
"16","Ruby Ash",0.133284231762618,0.227433765880134,0.311921888838382,0.327360113518866
"17","Saffron Crest",0.272679237305619,0.306378503140756,0.254534747239893,0.166407512313731
"18","Desert Flower",0.133059855597693,0.227210043605939,0.311941848232894,0.327788252563475
"19","Lovelace",0.407931836814615,0.308627100926007,0.185459421827283,0.0979816404320952
"20","Vladimir",0.193449304580295,0.274650758661932,0.294072051682362,0.237827885075411
"21","Onyx Rune",0.476940859724292,0.292946613823091,0.154259561514421,0.0758529649381961
"22","Lunar Charger",0.422589131887146,0.306068828205393,0.178567834918323,0.0927742049891382
"23","Royal Rebel",0.085952461959618,0.170572304913953,0.300300712699554,0.443174520426875
"24","Gallant Storm",0.161580860751126,0.252642193802742,0.306059578650963,0.279717366795169
"25","Windchaser",0.412519917877626,0.307874747007385,0.183287010177024,0.0963183249379652
"26","Crystal Frontier",0.139182268209985,0.233174263960761,0.311224495123578,0.316418972705676
"27","Crimson Eclipse",0.161255263504841,0.252384265400295,0.306158222863596,0.280202248231268
"28","Swift Valor",0.13644924563405,0.230547638557877,0.311588083317804,0.321415032490269
"29","Celestial Queen",0.554759299986775,0.265764051047695,0.122813305434354,0.056663343531176
"30","Stockman",0.403802305506297,0.309265599536625,0.18742645103489,0.0995056439221875
"31","Auric Vale",0.294542474469596,0.310508170123987,0.242943293232223,0.152006062174195
"32","Silversky",0.025842196457268,0.0628598730022901,0.172990827717629,0.738307102822813
"33","Red Meridian",0.184898632878393,0.269348025021236,0.297672042344529,0.248081299755842
"34","Dark Mirage",0.263274674304046,0.304054069388308,0.259506100923836,0.17316515538381
"35","Vanya",0.135300296933897,0.22942626627732,0.311720373584809,0.323553063203974
"36","Electric Stride",0.164415979400042,0.25485829795883,0.305176032960215,0.275549689680913
"37","Gilded Lily",0.639495461333372,0.227327216867691,0.0926944580552698,0.0404828637436669
"38","Golden Tempest",0.0942831000310184,0.182105460717429,0.305359040645297,0.418252398606256
"39","Bramble Halo",0.111704910112489,0.204025045363634,0.311168299509732,0.373101745014145
"40","Moss Relic",0.205604074271621,0.281485879394005,0.288604024576908,0.224306021757465
"41","Blue Blaze",0.499584659552547,0.285966874751947,0.144710087107413,0.0697383785880927
"42","Scarlet Racer",0.364956060405424,0.313363688478087,0.206456532078613,0.115223719037875
"43","Lightning Monarch",0.266176448515219,0.304807996559543,0.257974533675484,0.171041021249754
"44","Nightfall",0.161985716750611,0.252961920978176,0.305936096311022,0.279116265960191
"45","Urban Legend",0.260668379761029,0.303348445386278,0.260879414268453,0.175103760584239
"46","Blue Horizon",0.14184643256087,0.235680115778464,0.310806656160343,0.311666795500324
"47","Echo Fury",0.188141042070547,0.271408367279504,0.296334093322689,0.24411649732726
"48","Black Ember",0.104053669743107,0.194751144495127,0.309311892171536,0.39188329359023
"49","Ticker Pike",0.662317299533395,0.215681679268818,0.0852453469419147,0.0367556742558725
"50","Estragon",0.582479971637441,0.254092054509435,0.112512873810379,0.0509151000427448
"51","Indigo Marc",0.299593429278383,0.311222517884492,0.240269741765716,0.148914311071409
"52","Silent Eclipse",0.196697247913013,0.276556315818442,0.292647737416023,0.234098698852523
"53","Skybreaker",0.286117990042812,0.309120603773647,0.247409277810191,0.15735212837335
"54","Bold Pride",0.298532274242095,0.311079619360059,0.240831079532635,0.149557026865211
"55","Pale Corsair",0.132096974028228,0.226245462755445,0.312021765374388,0.32963579784194
"56","Comet Stride",0.0922693019202128,0.179382468231258,0.304291074162655,0.424057155685874
"57","Port Louis",0.608979208473138,0.242088684524241,0.103080100262311,0.0458520067403099
"58","Summer Breeze",0.181303859080523,0.266991475826184,0.29911307079553,0.252591594297764
"59","Emerald",0.335622737622979,0.313939501287408,0.221402299596068,0.129035461493546
"60","Diamond Hood",0.131747539432803,0.225893598753628,0.31204844259967,0.330310419213898
"61","Silver Phantom",0.179266557047883,0.265621630410877,0.299908717493238,0.255203095048002
"62","Star Dust",0.486803596283945,0.290007743623858,0.150058925453059,0.0731297346391385
"63","Steady Fighter",0.26569499072418,0.304685198758387,0.258228817398471,0.171390993118963
"64","Wave Rider",0.0291580812998738,0.0701037425738278,0.187113249184173,0.713624926942126
