,horse_name,predSingle,,IN_CRITICAL,,
1,Dark Mirage,6.433333333,,Dark Mirage,,
2,Green Dusk,4.7,,#N/A,,"{'horse' : 'Green Dusk', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Green Dusk_F1.wav'}, "
3,Moss Relic,5.066666667,,#N/A,,"{'horse' : 'Moss Relic', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Moss Relic_F1.wav'}, "
4,Velvet Thunder,4.066666667,,#N/A,,"{'horse' : 'Velvet Thunder', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Velvet Thunder_F1.wav'}, "
5,Air Ace,6.866666667,,Air Ace,,"{'horse' : 'Air Ace', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Air Ace_F1.wav'}, "
6,Summer Breeze,6.1,,#N/A,,"{'horse' : 'Summer Breeze', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Summer Breeze_F1.wav'}, "
7,Windchaser,7.166666667,,Windchaser,,"{'horse' : 'Windchaser', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Windchaser_F1.wav'}, "
8,Skybreaker,7.066666667,,#N/A,,"{'horse' : 'Skybreaker', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Skybreaker_F1.wav'}, "
9,Black Ember,5.266666667,,Black Ember,,"{'horse' : 'Black Ember', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Black Ember_F1.wav'}, "
10,Star Dust,7,,Star Dust,,"{'horse' : 'Star Dust', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Star Dust_F1.wav'}, "
11,Emerald,7.033333333,,Emerald,,"{'horse' : 'Emerald', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Emerald_F1.wav'}, "
12,Neon Charger,4.633333333,,#N/A,,"{'horse' : 'Neon Charger', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Neon Charger_F1.wav'}, "
13,Lunar Charger,7.133333333,,#N/A,,"{'horse' : 'Lunar Charger', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Lunar Charger_F1.wav'}, "
14,Copper Legacy,4.733333333,,#N/A,,"{'horse' : 'Copper Legacy', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Copper Legacy_F1.wav'}, "
15,Estragon,7.766666667,,#N/A,,"{'horse' : 'Estragon', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Estragon_F1.wav'}, "
16,Wave Rider,3.266666667,,#N/A,,"{'horse' : 'Wave Rider', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Wave Rider_F1.wav'}, "
17,Silversky,3.866666667,,#N/A,,"{'horse' : 'Silversky', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Silversky_F1.wav'}, "
18,Crystal Frontier,5.2,,Crystal Frontier,,"{'horse' : 'Crystal Frontier', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Crystal Frontier_F1.wav'}, "
19,Silver Phantom,5.766666667,,#N/A,,"{'horse' : 'Silver Phantom', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Silver Phantom_F1.wav'}, "
20,Red Meridian,6.166666667,,#N/A,,"{'horse' : 'Red Meridian', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Red Meridian_F1.wav'}, "
21,Nimbus Crest,6.966666667,,Nimbus Crest,,"{'horse' : 'Nimbus Crest', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Nimbus Crest_F1.wav'}, "
22,Diamond Hood,5.766666667,,Diamond Hood,,"{'horse' : 'Diamond Hood', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Diamond Hood_F1.wav'}, "
23,Karerin,6.466666667,,Karerin,,"{'horse' : 'Karerin', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Karerin_F1.wav'}, "
24,Bramble Halo,5.533333333,,Bramble Halo,,"{'horse' : 'Bramble Halo', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Bramble Halo_F1.wav'}, "
25,Oblique Runner,6.5,,#N/A,,"{'horse' : 'Oblique Runner', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Oblique Runner_F1.wav'}, "
26,Crimson Eclipse,5.7,,Crimson Eclipse,,"{'horse' : 'Crimson Eclipse', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Crimson Eclipse_F1.wav'}, "
27,Onyx Rune,7.166666667,,Onyx Rune,,"{'horse' : 'Onyx Rune', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Onyx Rune_F1.wav'}, "
28,Scarlet Racer,7.166666667,,Scarlet Racer,,"{'horse' : 'Scarlet Racer', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Scarlet Racer_F1.wav'}, "
29,Blue Horizon,5.533333333,,Blue Horizon,,"{'horse' : 'Blue Horizon', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Blue Horizon_F1.wav'}, "
30,Electric Stride,5.4,,#N/A,,"{'horse' : 'Electric Stride', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Electric Stride_F1.wav'}, "
31,Echo Fury,5.733333333,,Echo Fury,,"{'horse' : 'Echo Fury', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Echo Fury_F1.wav'}, "
32,Desert Flower,5.5,,#N/A,,"{'horse' : 'Desert Flower', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Desert Flower_F1.wav'}, "
33,Silent Eclipse,5.766666667,,Silent Eclipse,,"{'horse' : 'Silent Eclipse', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Silent Eclipse_F1.wav'}, "
34,Celestial Queen,7.233333333,,#N/A,,"{'horse' : 'Celestial Queen', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Celestial Queen_F1.wav'}, "
35,Ticker Pike,7.1,,#N/A,,"{'horse' : 'Ticker Pike', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Ticker Pike_F1.wav'}, "
36,Flint Sonata,5.466666667,,Flint Sonata,,"{'horse' : 'Flint Sonata', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Flint Sonata_F1.wav'}, "
37,Swift Valor,5.233333333,,Swift Valor,,"{'horse' : 'Swift Valor', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Swift Valor_F1.wav'}, "
38,Pale Corsair,6.2,,Pale Corsair,,"{'horse' : 'Pale Corsair', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Pale Corsair_F1.wav'}, "
39,Golden Tempest,5.633333333,,#N/A,,"{'horse' : 'Golden Tempest', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Golden Tempest_F1.wav'}, "
40,Gilded Lily,7.966666667,,#N/A,,"{'horse' : 'Gilded Lily', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Gilded Lily_F1.wav'}, "
41,Auric Vale,6,,#N/A,,"{'horse' : 'Auric Vale', 'delivery' :  'fluent', 'nativeness' : 'native', 'speaker_id' : 'F1', 'audio' : 'Auric Vale_F1.wav'}, "
