"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","963","true","chrome","118.0.0","false","Windows 10","true","241.74","true","true","browser-check","0","251","0.0-0.0","100","0","12.50","30","30.5","27","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3375","0.0-1.0","100","0","12.50","30","30.5","27","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","22884","0.0-2.0","100","0","12.50","30","30.5","27","","19477","{""prolific_id"":""63d043863d3ac95993dca399"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","30521","0.0-4.0","100","0","12.50","30","30.5","27","","7637","","","[{""page_index"":0,""viewing_time"":7636}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","36232","0.0-5.0-0.0","100","0","12.50","30","30.5","27","","5589","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","59646","0.0-7.0","100","0","12.50","30","30.5","27","","23414","","","[{""page_index"":0,""viewing_time"":23414}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","60188","0.0-8.0","100","0","12.50","30","30.5","27","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","72457","0.0-9.0","100","0","12.50","30","30.5","27","","12268","alt","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","125739","0.0-10.0","100","0","12.50","30","30.5","27","","126728","{""blackblade"":""12.50""}","","","","","","","","firstbet","no","nonnative","disfluent","1","blackblade"
"","","","","","","","","","","","audio-survey-input-response","9","173840","0.0-11.0","100","0","12.50","30","30.5","27","","174776","{""blackblade"":"""",""silversky"":""30""}","","","","","","","","secondbet","no","nonnative","fluent","1","silversky"
"","","","","","","","","","","","audio-survey-input-response","10","213323","0.0-12.0","100","0","12.50","30","30.5","27","","214211","{""blackblade"":"""",""silversky"":"""",""firewalker"":""30.5""}","","","","","","","","thirdbet","no","native","disfluent","1","firewalker"
"","","","","","","","","","","","audio-survey-input-response","11","243214","0.0-13.0","100","0","12.50","30","30.5","27","","244062","{""blackblade"":"""",""silversky"":"""",""firewalker"":"""",""apocalypse"":""27""}","","","","","","","","forthbet","no","native","fluent","1","apocalypse"
"","","","","","","","","","","","instructions","12","249512","0.0-15.0","100","0","12.50","30","30.5","27","","6298","","","[{""page_index"":0,""viewing_time"":6297}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","320313","0.0-16.0","100","0","12.50","30","30.5","27","","70770","{""P0_Q0"":null,""sociable_nonnative"":5,""friendly_nonnative"":7,""nice_nonnative"":7,""honest_nonnative"":7,""pleasant_nonnative"":6,""P1_Q0"":null,""competent_nonnative"":6,""smart_nonnative"":6,""educated_nonnative"":6,""intelligent_nonnative"":6,""successful_nonnative"":5,""P2_Q0"":null,""irritated_nonnative"":6,""interested_nonnative"":4,""enthusiastic_nonnative"":4,""frustrated_nonnative"":5,""annoyed_nonnative"":6,""happy_nonnative"":5,""P3_Q0"":null,""trustworthy_nonnative"":7,""easy_nonnative"":6,""fluent_nonnative"":6,""strong_nonnative"":6}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","14","364066","0.0-17.0","100","0","12.50","30","30.5","27","","43735","{""P0_Q0"":null,""sociable_native"":6,""friendly_native"":6,""nice_native"":6,""honest_native"":6,""pleasant_native"":6,""P1_Q0"":null,""irritated_native"":1,""interested_native"":6,""enthusiastic_native"":5,""frustrated_native"":3,""annoyed_native"":3,""happy_native"":6,""P2_Q0"":null,""competent_native"":6,""smart_native"":6,""educated_native"":6,""intelligent_native"":6,""successful_native"":6,""P3_Q0"":null,""trustworthy_native"":6,""easy_native"":6,""fluent_native"":6,""strong_native"":6}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","15","459214","0.0-18.0","100","0","12.50","30","30.5","27","","95131","{""P0_Q0"":null,""country_native"":""great britain"",""country_nonnative"":""not sure"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":4,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":2,""naturalness_nonnative"":5,""decision_making"":""randomly"",""P2_Q4"":""to see how native/non native impacts my decisions"",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
