"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","total_bet","fixed_bet_over100","horse0_bet","horse1_bet","horse2_bet","horse3_bet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1879","962","true","opera","102.0.0","false","Windows 10","true","60.1","false","true","browser-check","0","1001","0.0-0.0","100","0","25","25","25","25","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","3863","0.0-1.0","100","0","25","25","25","25","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","24080","0.0-2.0","100","0","25","25","25","25","","20191","{""prolific_id"":""65046ffaabcc21bf005e607a"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","42233","0.0-4.0","100","0","25","25","25","25","","18153","","","[{""page_index"":0,""viewing_time"":18153}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","47464","0.0-5.0-0.0","100","0","25","25","25","25","","5100","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","54112","0.0-7.0","100","0","25","25","25","25","","6648","","","[{""page_index"":0,""viewing_time"":6648}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","54643","0.0-8.0","100","0","25","25","25","25","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","65424","0.0-9.0","100","0","25","25","25","25","","10780"," ","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","108251","0.0-10.0","100","0","25","25","25","25","","110114","{""firewalker"":""25""}","","","","","","","","firstbet","no","nonnative","disfluent","14","firewalker"
"","","","","","","","","","","","audio-survey-input-response","9","153316","0.0-11.0","100","0","25","25","25","25","","155136","{""firewalker"":""25"",""apocalypse"":""10""}","","","","","","","","secondbet","no","nonnative","fluent","14","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","10","203365","0.0-12.0","100","0","25","25","25","25","","205140","{""firewalker"":"""",""apocalypse"":"""",""silversky"":""10""}","","","","","","","","thirdbet","no","native","disfluent","14","silversky"
"","","","","","","","","","","","audio-survey-input-response","11","243192","0.0-13.0","100","0","25","25","25","25","","244917","{""firewalker"":"""",""apocalypse"":""25"",""silversky"":""25"",""blackblade"":""25""}","","","","","","","","forthbet","no","native","fluent","14","blackblade"
"","","","","","","","","","","","instructions","12","246502","0.0-15.0","100","0","25","25","25","25","","3309","","","[{""page_index"":0,""viewing_time"":3309}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","295088","0.0-16.0","100","0","25","25","25","25","","48562","{""P0_Q0"":null,""trustworthy_native"":2,""easy_native"":3,""fluent_native"":4,""strong_native"":3,""P1_Q0"":null,""irritated_native"":2,""interested_native"":3,""enthusiastic_native"":3,""frustrated_native"":1,""annoyed_native"":1,""happy_native"":3,""P2_Q0"":null,""sociable_native"":1,""friendly_native"":1,""nice_native"":3,""honest_native"":2,""pleasant_native"":2,""P3_Q0"":null,""competent_native"":3,""smart_native"":3,""educated_native"":3,""intelligent_native"":3,""successful_native"":3}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","333222","0.0-17.0","100","0","25","25","25","25","","38123","{""P0_Q0"":null,""sociable_nonnative"":5,""friendly_nonnative"":6,""nice_nonnative"":6,""honest_nonnative"":4,""pleasant_nonnative"":5,""P1_Q0"":null,""irritated_nonnative"":1,""interested_nonnative"":3,""enthusiastic_nonnative"":1,""frustrated_nonnative"":1,""annoyed_nonnative"":1,""happy_nonnative"":1,""P2_Q0"":null,""trustworthy_nonnative"":5,""easy_nonnative"":6,""fluent_nonnative"":6,""strong_nonnative"":7,""P3_Q0"":null,""competent_nonnative"":5,""smart_nonnative"":5,""educated_nonnative"":5,""intelligent_nonnative"":5,""successful_nonnative"":5}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","404389","0.0-18.0","100","0","25","25","25","25","","71153","{""P0_Q0"":null,""country_native"":""Scotland/North of England"",""country_nonnative"":""Italy"",""learn_future"":""Native speaker"",""P1_Q0"":null,""exposure_nn"":8,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""No"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":4,""naturalness_nonnative"":6,""decision_making"":""Evenly"",""P2_Q4"":""Look at perceptions of native English speakers to native and non-native English speakers"",""P2_Q5"":""""}","[{""P1_Q4"":false}]","","","","","","","survey_checks","","","","",""
