width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,time_elapsed,internal_node_id,total_bet,fixed_bet_over100,horse0_bet,horse1_bet,horse2_bet,horse3_bet,success,rt,response,accuracy,view_history,correct,timeout,failed_images,failed_audio,failed_video,type,overbet,speaker,delivery,list,horse
1536,747,TRUE,chrome,117.0.0,FALSE,Windows 10,TRUE,60.23,TRUE,TRUE,browser-check,0,1007,0.0-0.0,100,0,30,15,30,25,,,,,,,,,,,,,,,,
,,,,,,,,,,,fullscreen,1,4271,0.0-1.0,100,0,30,15,30,25,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,survey,2,28812,0.0-2.0,100,0,30,15,30,25,,24469,"{""prolific_id"":""59df97d2be399f0001e49850"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]",,,,,,,,,,,,
,,,,,,,,,,,instructions,3,37739,0.0-4.0,100,0,30,15,30,25,,8926,,,"[{""page_index"":0,""viewing_time"":8926}]",,,,,,,,,,,
,,,,,,,,,,,audio-button-response,4,43969,0.0-5.0-0.0,100,0,30,15,30,25,,5621,2,,,TRUE,,,,,,,,,,
,,,,,,,,,,,instructions,5,66545,0.0-7.0,100,0,30,15,30,25,,22575,,,"[{""page_index"":0,""viewing_time"":22575}]",,,,,,,,,,,
,,,,,,,,,,,preload,6,66966,0.0-8.0,100,0,30,15,30,25,TRUE,,,,,,FALSE,[],[],[],,,,,,
,,,,,,,,,,,html-keyboard-response,7,87259,0.0-9.0,100,0,30,15,30,25,,20293, ,,,,,,,,,,,,,
,,,,,,,,,,,audio-survey-input-response,8,143630,0.0-10.0,100,0,30,15,30,25,,144507,"{""firewalker"":""30""}",,,,,,,,firstbet,no,nonnative,fluent,11,firewalker
,,,,,,,,,,,audio-survey-input-response,9,188839,0.0-11.0,100,0,30,15,30,25,,189660,"{""firewalker"":"""",""apocalypse"":""15""}",,,,,,,,secondbet,no,native,disfluent,11,apocalypse
,,,,,,,,,,,audio-survey-input-response,10,238009,0.0-12.0,100,0,30,15,30,25,,238785,"{""firewalker"":"""",""apocalypse"":"""",""silversky"":""30""}",,,,,,,,thirdbet,no,nonnative,disfluent,11,silversky
,,,,,,,,,,,audio-survey-input-response,11,269320,0.0-13.0,100,0,30,15,30,25,,270047,"{""firewalker"":"""",""apocalypse"":"""",""silversky"":"""",""blackblade"":""25""}",,,,,,,,forthbet,no,native,fluent,11,blackblade
,,,,,,,,,,,instructions,12,274099,0.0-15.0,100,0,30,15,30,25,,4777,,,"[{""page_index"":0,""viewing_time"":4777}]",,,,,,,,,,,
,,,,,,,,,,,survey,13,339558,0.0-16.0,100,0,30,15,30,25,,65417,"{""P0_Q0"":null,""competent_native"":4,""smart_native"":4,""educated_native"":5,""intelligent_native"":5,""successful_native"":5,""P1_Q0"":null,""irritated_native"":7,""interested_native"":3,""enthusiastic_native"":2,""frustrated_native"":8,""annoyed_native"":8,""happy_native"":5,""P2_Q0"":null,""sociable_native"":1,""friendly_native"":2,""nice_native"":4,""honest_native"":4,""pleasant_native"":3,""P3_Q0"":null,""trustworthy_native"":2,""easy_native"":8,""fluent_native"":7,""strong_native"":3}",[],,,,,,,survey_native,,native,,,
,,,,,,,,,,,survey,14,380944,0.0-17.0,100,0,30,15,30,25,,41360,"{""P0_Q0"":null,""irritated_nonnative"":2,""interested_nonnative"":8,""enthusiastic_nonnative"":8,""frustrated_nonnative"":2,""annoyed_nonnative"":1,""happy_nonnative"":8,""P1_Q0"":null,""competent_nonnative"":7,""smart_nonnative"":8,""educated_nonnative"":8,""intelligent_nonnative"":9,""successful_nonnative"":8,""P2_Q0"":null,""trustworthy_nonnative"":8,""easy_nonnative"":9,""fluent_nonnative"":7,""strong_nonnative"":6,""P3_Q0"":null,""sociable_nonnative"":6,""friendly_nonnative"":7,""nice_nonnative"":7,""honest_nonnative"":8,""pleasant_nonnative"":7}",[],,,,,,,survey_nonnative,,non-native,,,
,,,,,,,,,,,survey,15,471586,0.0-18.0,100,0,30,15,30,25,,90614,"{""P0_Q0"":null,""country_native"":""France"",""country_nonnative"":""Scotland"",""learn_future"":""Non-native speaker"",""P1_Q0"":null,""exposure_nn"":9,""exposure_n"":9,""P1_Q3"":null,""P1_Q4"":""Yes"",""P1_Q5"":1,""P2_Q0"":null,""naturalness_native"":4,""naturalness_nonnative"":6,""decision_making"":""Based on how confident the speakers tone was and the context of their speech"",""P2_Q4"":""Unsure, gambling related but somehow something to do with language? Maybe the impact of accent on tipsters?"",""P2_Q5"":""Nice survey, good luck with your conclusions""}","[{""P1_Q4"":true}]",,,,,,,survey_checks,,,,,
